TStamp,Source,Location,AType,Topics,NearestTo,Headline,Content,d(Heff),d(Pulwama),d(Shopian),d(Siemens),d(Tral),d(Wanpoh),ExtLink,DMLink,DMTLink
"06:06pm June 19, 2019 IST",LOCAL,Srinagar,ALERT,Crime - Criminal Activity,Pulwama,"Man arrested for selling unauthorized liquor in Srinagar, Jammu and Kashmir: Local News Outlet Photo via Kashmir Life.",View on Kashmir Life ,22.32,15.62,25.39,21.38,20.82,N.A.,https://kashmirlife.net/police-arrests-bootlegger-in-central-kashmir-212740/,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLzvaU-ZC7pu6XNHErUXJimkKywT1uJ5kjUjOJgRSpGXKfCT4N1kjNK3i9MuHnTEH6g=&amp;guid=8d9cba7cc22b49489bb4c8e54e85c9d0&amp;alertId=141466197-1560947119959-3&amp;path=/&amp;fragment=/alertDetail/5/141466197-1560947119959-3,N.A.
"05:58pm June 19, 2019 IST",LOCAL,Pulwama 192301,ALERT,Conflict and Terrorism,Pulwama,"Indian Army soldiers carry remains of their fellow soldier who was killed in an IED blast in Pulwama, Jammu and Kashmir: Local News Outlet Photo via Twitter.","ORIGINAL PUBLIC TWEET (05:58pm June 19, 2019 IST) #Jammu #Kashmir Army jawans carrying mortal remains of Havildar Amarjeet Kumar at Jai Prakash Narayan airport in Patna on Wednesday. Amarjeet Kumar was martyred in an IED blast in #Pulwama district Public Tweets 124,291 | Followers 10,276 The Official twitter handle of Daily Excelsior",6.92,0.06,11.17,5.75,13.27,N.A.,N.A.,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLyR5cgCKMTGzK4UoTqIND-pg_hKhLTH652Q7AgY9OLf3tU_i7aEWATNMPZRgHJQUKE=&amp;guid=83d1a396a1c54cb1a5821a26872795b4&amp;alertId=1496455375-1560947292456-3&amp;path=/&amp;fragment=/alertDetail/5/1496455375-1560947292456-3,N.A.
"10:20pm June 19, 2019 IST",BLOG,"Zojila Pass, Forest Block 191203",ALERT,Transportation - Traffic and Roadways,Tral,"Heavy congestion on the Srinagar-Leh highway near Zojila pass, Jammu and Kashmir: Blog via Rising Kashmir.","View on Rising Kashmir Zojila Pass, Forest Block 191203 ",N.A.,41.35,N.A.,N.A.,29.45,N.A.,http://risingkashmir.com/news/massive-traffic-jam-on-srinagar-leh-highway-near-zojila-pass-,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLzApa0xdjpmTu4snXDGS1Z_cFPzA_jZtca9MLKnHHvmq3NajgpALuhtIl4866rsZQI=&amp;guid=ffff05652e214242a4840d4e641b485e&amp;alertId=212711184171649132-1560945294755-1&amp;path=/&amp;fragment=/alertDetail/5/212711184171649132-1560945294755-1,N.A.
"04:08pm June 19, 2019 IST",LOCAL,Anantnag,URGENT UPDATE,Conflict and Terrorism,Wanpoh,"Ongoing cordon and search operation in the Arwani Bijbehara area of Anantnag, Jammu and Kashmir: Local News Outlet Video via Twitter.","ORIGINAL PUBLIC TWEET (04:08pm June 19, 2019 IST) Following input about the possible presence of militants, (CASO) cordon & search operation started by joint forces at Arwani Bijbehara area of Anantnag in South Kashmir. @asifsuhaf Public Tweets 377,877 | Followers 131,808 Official Twitter handle of News24, Leading Hindi News Channel • Search operations target suspected militants in Arwani Bijbehara and Bonpora Shangus villages in Anantnag, Jammu and Kashmir: Local News Outlet via Zee News. 12:48pm June 19, 2019 IST Search operations target suspected militants in Arwani Bijbehara and Bonpora Shangus villages in Anantnag, Jammu and Kashmir: Local News Outlet via Zee News. OPEN IN Dataminr | VIEW POST VIA ZEE NEWS",11.04,17.56,N.A.,12.66,14.21,2.31,N.A.,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLxKxt1iKSmYU-FxZlgSAkThKph7kRqgisqZwyKMRoXPPsIf0MzIH3j3ZYK9bbtERj8=&amp;guid=8a097649ce4b496f9edc3850a96eeecd&amp;alertId=1562578082-1560940680000-3&amp;path=/&amp;fragment=/alertDetail/5/1562578082-1560940680000-3,"https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp693rvW1DIlBnOkQb5kPcPCsNJ1iTJjuFd05GIBahKWwlWXX1TauLj5CBaKcOsB2IT9QZtEQATGLCKpPaldN0D8nzoiEW7oEZKXNmeVEE5gs&amp;guid=8a097649ce4b496f9edc3850a96eeecd&amp;path=/&amp;fragment=trackStory/1562578082-1560940680000-3,2102740380-1560928260000-3"
"03:32pm June 19, 2019 IST",LOCAL,Zanipora 192232,URGENT UPDATE,"Crime - Transnational, Conflict and Terrorism",Heff,"Police release statement after arrest five militants in Zanipora, Shopian, Jammu and Kashmir: Local News Outlet via Kashmir Life.","View on Kashmir Life • Five arrested allegedly in possession of IED components in Zanipora area of Shopian, Jammu and Kashmir: Local Source Photo via Twitter. 11:47am June 19, 2019 IST Five arrested allegedly in possession of IED components in Zanipora area of Shopian, Jammu and Kashmir: Local Source Photo via Twitter. Five arrested with material used for 'making IEDs' in south Kashmir Police have arrested five persons and claimed to have recovered material used for making Improvised Explosive Devices (IEDs) from Zainapora area of south Kashmir's Shopian district OPEN IN Dataminr | VIEW TWEET",2.29,9.2,10.57,3.87,N.A.,6.73,https://kashmirlife.net/shopian-arrests-police-issues-a-statement-212735/,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLxAjM0WYASqxAOo_OZwSmOT9eIdGhL78gTPQQbZ0f0Sfhr6r47M2a1XA-0e6hEHxCM=&amp;guid=46a89e51efd94836878de968c29ac59b&amp;alertId=534391390545386-1560938588556-1&amp;path=/&amp;fragment=/alertDetail/5/534391390545386-1560938588556-1,"https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp693rvW1DIlBnOkQb5kPcPBoyl8REQxMDEPCmWsqrvfQHyo9PAaLjH9R4B0FLJJ0TneoOdl-qt0ROIDE4uVI4BsFJg__gozzaYWRchUn2zLBOC6aCBPKWu0511MW4GCegw==&amp;guid=46a89e51efd94836878de968c29ac59b&amp;path=/&amp;fragment=trackStory/534391390545386-1560938588556-1,1863227511-1560925034168-3"
"06:06pm June 19, 2019 IST",LOCAL,Srinagar,ALERT,Crime - Criminal Activity,Pulwama,"Man arrested for selling unauthorized liquor in Srinagar, Jammu and Kashmir: Local News Outlet Photo via Kashmir Life.",View on Kashmir Life ,22.32,15.62,25.39,21.38,20.82,N.A.,https://kashmirlife.net/police-arrests-bootlegger-in-central-kashmir-212740/,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLzvaU-ZC7pu6XNHErUXJimkKywT1uJ5kjUjOJgRSpGXKfCT4N1kjNK3i9MuHnTEH6g=&amp;guid=8d9cba7cc22b49489bb4c8e54e85c9d0&amp;alertId=141466197-1560947119959-3&amp;path=/&amp;fragment=/alertDetail/5/141466197-1560947119959-3,N.A.
"05:58pm June 19, 2019 IST",LOCAL,Pulwama 192301,ALERT,Conflict and Terrorism,Pulwama,"Indian Army soldiers carry remains of their fellow soldier who was killed in an IED blast in Pulwama, Jammu and Kashmir: Local News Outlet Photo via Twitter.","ORIGINAL PUBLIC TWEET (05:58pm June 19, 2019 IST) #Jammu #Kashmir Army jawans carrying mortal remains of Havildar Amarjeet Kumar at Jai Prakash Narayan airport in Patna on Wednesday. Amarjeet Kumar was martyred in an IED blast in #Pulwama district Public Tweets 124,291 | Followers 10,276 The Official twitter handle of Daily Excelsior",6.92,0.06,11.17,5.75,13.27,N.A.,N.A.,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLyR5cgCKMTGzK4UoTqIND-pg_hKhLTH652Q7AgY9OLf3tU_i7aEWATNMPZRgHJQUKE=&amp;guid=83d1a396a1c54cb1a5821a26872795b4&amp;alertId=1496455375-1560947292456-3&amp;path=/&amp;fragment=/alertDetail/5/1496455375-1560947292456-3,N.A.
"10:20pm June 19, 2019 IST",BLOG,"Zojila Pass, Forest Block 191203",ALERT,Transportation - Traffic and Roadways,Tral,"Heavy congestion on the Srinagar-Leh highway near Zojila pass, Jammu and Kashmir: Blog via Rising Kashmir.","View on Rising Kashmir Zojila Pass, Forest Block 191203 ",N.A.,41.35,N.A.,N.A.,29.45,N.A.,http://risingkashmir.com/news/massive-traffic-jam-on-srinagar-leh-highway-near-zojila-pass-,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLzApa0xdjpmTu4snXDGS1Z_cFPzA_jZtca9MLKnHHvmq3NajgpALuhtIl4866rsZQI=&amp;guid=ffff05652e214242a4840d4e641b485e&amp;alertId=212711184171649132-1560945294755-1&amp;path=/&amp;fragment=/alertDetail/5/212711184171649132-1560945294755-1,N.A.
"04:08pm June 19, 2019 IST",LOCAL,Anantnag,URGENT UPDATE,Conflict and Terrorism,Wanpoh,"Ongoing cordon and search operation in the Arwani Bijbehara area of Anantnag, Jammu and Kashmir: Local News Outlet Video via Twitter.","ORIGINAL PUBLIC TWEET (04:08pm June 19, 2019 IST) Following input about the possible presence of militants, (CASO) cordon & search operation started by joint forces at Arwani Bijbehara area of Anantnag in South Kashmir. @asifsuhaf Public Tweets 377,877 | Followers 131,808 Official Twitter handle of News24, Leading Hindi News Channel • Search operations target suspected militants in Arwani Bijbehara and Bonpora Shangus villages in Anantnag, Jammu and Kashmir: Local News Outlet via Zee News. 12:48pm June 19, 2019 IST Search operations target suspected militants in Arwani Bijbehara and Bonpora Shangus villages in Anantnag, Jammu and Kashmir: Local News Outlet via Zee News. OPEN IN Dataminr | VIEW POST VIA ZEE NEWS",11.04,17.56,N.A.,12.66,14.21,2.31,N.A.,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLxKxt1iKSmYU-FxZlgSAkThKph7kRqgisqZwyKMRoXPPsIf0MzIH3j3ZYK9bbtERj8=&amp;guid=8a097649ce4b496f9edc3850a96eeecd&amp;alertId=1562578082-1560940680000-3&amp;path=/&amp;fragment=/alertDetail/5/1562578082-1560940680000-3,"https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp693rvW1DIlBnOkQb5kPcPCsNJ1iTJjuFd05GIBahKWwlWXX1TauLj5CBaKcOsB2IT9QZtEQATGLCKpPaldN0D8nzoiEW7oEZKXNmeVEE5gs&amp;guid=8a097649ce4b496f9edc3850a96eeecd&amp;path=/&amp;fragment=trackStory/1562578082-1560940680000-3,2102740380-1560928260000-3"
"03:32pm June 19, 2019 IST",LOCAL,Zanipora 192232,URGENT UPDATE,"Crime - Transnational, Conflict and Terrorism",Heff,"Police release statement after arrest five militants in Zanipora, Shopian, Jammu and Kashmir: Local News Outlet via Kashmir Life.","View on Kashmir Life • Five arrested allegedly in possession of IED components in Zanipora area of Shopian, Jammu and Kashmir: Local Source Photo via Twitter. 11:47am June 19, 2019 IST Five arrested allegedly in possession of IED components in Zanipora area of Shopian, Jammu and Kashmir: Local Source Photo via Twitter. Five arrested with material used for 'making IEDs' in south Kashmir Police have arrested five persons and claimed to have recovered material used for making Improvised Explosive Devices (IEDs) from Zainapora area of south Kashmir's Shopian district OPEN IN Dataminr | VIEW TWEET",2.29,9.2,10.57,3.87,N.A.,6.73,https://kashmirlife.net/shopian-arrests-police-issues-a-statement-212735/,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLxAjM0WYASqxAOo_OZwSmOT9eIdGhL78gTPQQbZ0f0Sfhr6r47M2a1XA-0e6hEHxCM=&amp;guid=46a89e51efd94836878de968c29ac59b&amp;alertId=534391390545386-1560938588556-1&amp;path=/&amp;fragment=/alertDetail/5/534391390545386-1560938588556-1,"https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp693rvW1DIlBnOkQb5kPcPBoyl8REQxMDEPCmWsqrvfQHyo9PAaLjH9R4B0FLJJ0TneoOdl-qt0ROIDE4uVI4BsFJg__gozzaYWRchUn2zLBOC6aCBPKWu0511MW4GCegw==&amp;guid=46a89e51efd94836878de968c29ac59b&amp;path=/&amp;fragment=trackStory/534391390545386-1560938588556-1,1863227511-1560925034168-3"
"06:06pm June 19, 2019 IST",LOCAL,Srinagar,ALERT,Crime - Criminal Activity,Pulwama,"Man arrested for selling unauthorized liquor in Srinagar, Jammu and Kashmir: Local News Outlet Photo via Kashmir Life.",View on Kashmir Life ,22.32,15.62,25.39,21.38,20.82,N.A.,https://kashmirlife.net/police-arrests-bootlegger-in-central-kashmir-212740/,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLzvaU-ZC7pu6XNHErUXJimkKywT1uJ5kjUjOJgRSpGXKfCT4N1kjNK3i9MuHnTEH6g=&amp;guid=8d9cba7cc22b49489bb4c8e54e85c9d0&amp;alertId=141466197-1560947119959-3&amp;path=/&amp;fragment=/alertDetail/5/141466197-1560947119959-3,N.A.
"05:58pm June 19, 2019 IST",LOCAL,Pulwama 192301,ALERT,Conflict and Terrorism,Pulwama,"Indian Army soldiers carry remains of their fellow soldier who was killed in an IED blast in Pulwama, Jammu and Kashmir: Local News Outlet Photo via Twitter.","ORIGINAL PUBLIC TWEET (05:58pm June 19, 2019 IST) #Jammu #Kashmir Army jawans carrying mortal remains of Havildar Amarjeet Kumar at Jai Prakash Narayan airport in Patna on Wednesday. Amarjeet Kumar was martyred in an IED blast in #Pulwama district Public Tweets 124,291 | Followers 10,276 The Official twitter handle of Daily Excelsior",6.92,0.06,11.17,5.75,13.27,N.A.,N.A.,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLyR5cgCKMTGzK4UoTqIND-pg_hKhLTH652Q7AgY9OLf3tU_i7aEWATNMPZRgHJQUKE=&amp;guid=83d1a396a1c54cb1a5821a26872795b4&amp;alertId=1496455375-1560947292456-3&amp;path=/&amp;fragment=/alertDetail/5/1496455375-1560947292456-3,N.A.
"10:20pm June 19, 2019 IST",BLOG,"Zojila Pass, Forest Block 191203",ALERT,Transportation - Traffic and Roadways,Tral,"Heavy congestion on the Srinagar-Leh highway near Zojila pass, Jammu and Kashmir: Blog via Rising Kashmir.","View on Rising Kashmir Zojila Pass, Forest Block 191203 ",N.A.,41.35,N.A.,N.A.,29.45,N.A.,http://risingkashmir.com/news/massive-traffic-jam-on-srinagar-leh-highway-near-zojila-pass-,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLzApa0xdjpmTu4snXDGS1Z_cFPzA_jZtca9MLKnHHvmq3NajgpALuhtIl4866rsZQI=&amp;guid=ffff05652e214242a4840d4e641b485e&amp;alertId=212711184171649132-1560945294755-1&amp;path=/&amp;fragment=/alertDetail/5/212711184171649132-1560945294755-1,N.A.
"04:08pm June 19, 2019 IST",LOCAL,Anantnag,URGENT UPDATE,Conflict and Terrorism,Wanpoh,"Ongoing cordon and search operation in the Arwani Bijbehara area of Anantnag, Jammu and Kashmir: Local News Outlet Video via Twitter.","ORIGINAL PUBLIC TWEET (04:08pm June 19, 2019 IST) Following input about the possible presence of militants, (CASO) cordon & search operation started by joint forces at Arwani Bijbehara area of Anantnag in South Kashmir. @asifsuhaf Public Tweets 377,877 | Followers 131,808 Official Twitter handle of News24, Leading Hindi News Channel • Search operations target suspected militants in Arwani Bijbehara and Bonpora Shangus villages in Anantnag, Jammu and Kashmir: Local News Outlet via Zee News. 12:48pm June 19, 2019 IST Search operations target suspected militants in Arwani Bijbehara and Bonpora Shangus villages in Anantnag, Jammu and Kashmir: Local News Outlet via Zee News. OPEN IN Dataminr | VIEW POST VIA ZEE NEWS",11.04,17.56,N.A.,12.66,14.21,2.31,N.A.,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLxKxt1iKSmYU-FxZlgSAkThKph7kRqgisqZwyKMRoXPPsIf0MzIH3j3ZYK9bbtERj8=&amp;guid=8a097649ce4b496f9edc3850a96eeecd&amp;alertId=1562578082-1560940680000-3&amp;path=/&amp;fragment=/alertDetail/5/1562578082-1560940680000-3,"https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp693rvW1DIlBnOkQb5kPcPCsNJ1iTJjuFd05GIBahKWwlWXX1TauLj5CBaKcOsB2IT9QZtEQATGLCKpPaldN0D8nzoiEW7oEZKXNmeVEE5gs&amp;guid=8a097649ce4b496f9edc3850a96eeecd&amp;path=/&amp;fragment=trackStory/1562578082-1560940680000-3,2102740380-1560928260000-3"
"03:32pm June 19, 2019 IST",LOCAL,Zanipora 192232,URGENT UPDATE,"Crime - Transnational, Conflict and Terrorism",Heff,"Police release statement after arrest five militants in Zanipora, Shopian, Jammu and Kashmir: Local News Outlet via Kashmir Life.","View on Kashmir Life • Five arrested allegedly in possession of IED components in Zanipora area of Shopian, Jammu and Kashmir: Local Source Photo via Twitter. 11:47am June 19, 2019 IST Five arrested allegedly in possession of IED components in Zanipora area of Shopian, Jammu and Kashmir: Local Source Photo via Twitter. Five arrested with material used for 'making IEDs' in south Kashmir Police have arrested five persons and claimed to have recovered material used for making Improvised Explosive Devices (IEDs) from Zainapora area of south Kashmir's Shopian district OPEN IN Dataminr | VIEW TWEET",2.29,9.2,10.57,3.87,N.A.,6.73,https://kashmirlife.net/shopian-arrests-police-issues-a-statement-212735/,https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp1dKAe1XecgIX7WYe4QtYLxAjM0WYASqxAOo_OZwSmOT9eIdGhL78gTPQQbZ0f0Sfhr6r47M2a1XA-0e6hEHxCM=&amp;guid=46a89e51efd94836878de968c29ac59b&amp;alertId=534391390545386-1560938588556-1&amp;path=/&amp;fragment=/alertDetail/5/534391390545386-1560938588556-1,"https://redirect.dataminr.com/1/mobile/redirect?key=90822319&amp;hash=cR5BjJOtHtkF0WUp-rmkp693rvW1DIlBnOkQb5kPcPBoyl8REQxMDEPCmWsqrvfQHyo9PAaLjH9R4B0FLJJ0TneoOdl-qt0ROIDE4uVI4BsFJg__gozzaYWRchUn2zLBOC6aCBPKWu0511MW4GCegw==&amp;guid=46a89e51efd94836878de968c29ac59b&amp;path=/&amp;fragment=trackStory/534391390545386-1560938588556-1,1863227511-1560925034168-3"
